127.0.0.1 - - [26/Sep/2022:21:37:51 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [26/Sep/2022:21:37:53 +0530] "GET /ServiceProvider/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Sep/2022:21:37:53 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [26/Sep/2022:21:37:54 +0530] "GET /ServiceProvider/ForUser.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Sep/2022:21:37:57 +0530] "GET /ServiceProvider/userregis.html HTTP/1.1" 200 542
0:0:0:0:0:0:0:1 - - [26/Sep/2022:21:38:16 +0530] "GET /ServiceProvider/userregis.html HTTP/1.1" 200 538
0:0:0:0:0:0:0:1 - - [26/Sep/2022:21:39:07 +0530] "GET /ServiceProvider/userregis.html HTTP/1.1" 200 595
0:0:0:0:0:0:0:1 - - [26/Sep/2022:21:43:31 +0530] "GET /ServiceProvider/userregis.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Sep/2022:21:43:50 +0530] "GET /ServiceProvider/UserRegistration.jsp?name=kratik+parmar&email=kratik%40gmail.com&password=12345&r=male&address=freeganj%2Cindore&mobile=2452552552&Login=Submit HTTP/1.1" 500 142
0:0:0:0:0:0:0:1 - - [26/Sep/2022:21:44:08 +0530] "GET /ServiceProvider/UserRegistration.jsp?name=kratik+parmar&email=kratik%40gmail.com&password=&r=male&address=freeganj%2Cindore&mobile=24525525&Login=Submit HTTP/1.1" 500 142
0:0:0:0:0:0:0:1 - - [26/Sep/2022:21:45:06 +0530] "GET /ServiceProvider/UserRegistration.jsp?name=kratik+parmar&email=kratik%40gmail.com&password=&r=male&address=freeganj%2Cindore&mobile=24525525&Login=Submit HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Sep/2022:21:45:06 +0530] "GET /ServiceProvider/ForUser.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Sep/2022:21:45:09 +0530] "GET /ServiceProvider/ForUser.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Sep/2022:21:45:10 +0530] "GET /ServiceProvider/userregis.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Sep/2022:21:45:17 +0530] "GET /ServiceProvider/UserRegistration.jsp?name=kratik+parmar&email=kratik%40gmail.com&password=12345&address=freeganj%2Cindore&mobile=2452552552&Login=Submit HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Sep/2022:21:45:59 +0530] "GET /ServiceProvider/userregis.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Sep/2022:21:46:14 +0530] "GET /ServiceProvider/UserRegistration.jsp?name=kratik+parmar&email=kratik%40gmail.com&password=12345&r=male&address=freeganj%2Cindore&mobile=2452552552&Login=Submit HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Sep/2022:21:47:48 +0530] "GET /ServiceProvider/userregis.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Sep/2022:21:48:10 +0530] "GET /ServiceProvider/UserRegistration.jsp?name=Rahul+gupta&email=rahul.rgupta30%40gmail.com&password=12345&r=male&address=freeganj%2Cindore&mobile=7000459761&Login=Submit HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Sep/2022:21:48:43 +0530] "GET /ServiceProvider/UserLogin.jsp?email=rahul.rgupta30%40gmail.com&password=12345 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Sep/2022:21:48:43 +0530] "GET /ServiceProvider/UserHome.jsp HTTP/1.1" 200 616
0:0:0:0:0:0:0:1 - - [26/Sep/2022:22:13:43 +0530] "GET /ServiceProvider/UserLogin.jsp?email=kratik%40gmail.com&password=12345 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Sep/2022:22:13:43 +0530] "GET /ServiceProvider/UserHome.jsp HTTP/1.1" 200 667
0:0:0:0:0:0:0:1 - - [26/Sep/2022:22:13:46 +0530] "GET /ServiceProvider/ViewBookingsUser.jsp HTTP/1.1" 500 108
0:0:0:0:0:0:0:1 - - [26/Sep/2022:22:15:16 +0530] "GET /ServiceProvider/UserLogin.jsp?email=kratik%40gmail.com&password=12345 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Sep/2022:22:15:16 +0530] "GET /ServiceProvider/UserHome.jsp HTTP/1.1" 200 667
0:0:0:0:0:0:0:1 - - [26/Sep/2022:22:15:18 +0530] "GET /ServiceProvider/ViewBookingsUser.jsp HTTP/1.1" 500 127
0:0:0:0:0:0:0:1 - - [26/Sep/2022:22:18:22 +0530] "GET /ServiceProvider/SearchProvider.jsp?sertype=Electician&area=Vijay+Nagar HTTP/1.1" 200 501
0:0:0:0:0:0:0:1 - - [26/Sep/2022:22:18:29 +0530] "GET /ServiceProvider/BookProvider.jsp?providerEmail=aryan%40gmail.com&dt=2022-09-09T03%3A23 HTTP/1.1" 200 740
0:0:0:0:0:0:0:1 - - [26/Sep/2022:22:18:32 +0530] "GET /ServiceProvider/ViewBookingsUser.jsp HTTP/1.1" 500 127
0:0:0:0:0:0:0:1 - - [26/Sep/2022:22:19:44 +0530] "GET /ServiceProvider/UserLogin.jsp?email=kratik%40gmail.com&password=123445 HTTP/1.1" 500 351
0:0:0:0:0:0:0:1 - - [26/Sep/2022:22:19:55 +0530] "GET /ServiceProvider/UserLogin.jsp?email=kratik%40gmail.com&password=12345 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Sep/2022:22:19:55 +0530] "GET /ServiceProvider/UserHome.jsp HTTP/1.1" 200 667
0:0:0:0:0:0:0:1 - - [26/Sep/2022:22:19:57 +0530] "GET /ServiceProvider/ViewBookingsUser.jsp HTTP/1.1" 200 473
0:0:0:0:0:0:0:1 - - [26/Sep/2022:22:20:03 +0530] "GET /ServiceProvider/ViewBookingsUser.jsp HTTP/1.1" 200 473
0:0:0:0:0:0:0:1 - - [26/Sep/2022:22:27:47 +0530] "GET /ServiceProvider/ViewBookingsUser.jsp HTTP/1.1" 200 473
0:0:0:0:0:0:0:1 - - [26/Sep/2022:22:29:23 +0530] "GET /ServiceProvider/UserLogin.jsp?email=rahul.rgupta30%40gmail.com&password=12345 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Sep/2022:22:29:23 +0530] "GET /ServiceProvider/UserHome.jsp HTTP/1.1" 200 675
0:0:0:0:0:0:0:1 - - [26/Sep/2022:22:29:24 +0530] "GET /ServiceProvider/ViewBookingsUser.jsp HTTP/1.1" 200 42
0:0:0:0:0:0:0:1 - - [26/Sep/2022:22:29:29 +0530] "GET /ServiceProvider/LogoutForUser.jsp HTTP/1.1" 500 351
0:0:0:0:0:0:0:1 - - [26/Sep/2022:22:29:35 +0530] "GET /ServiceProvider/UserLogin.jsp?email=kratik%40gmail.com&password=12345 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Sep/2022:22:29:35 +0530] "GET /ServiceProvider/UserHome.jsp HTTP/1.1" 200 667
0:0:0:0:0:0:0:1 - - [26/Sep/2022:22:29:36 +0530] "GET /ServiceProvider/ViewBookingsUser.jsp HTTP/1.1" 200 473
0:0:0:0:0:0:0:1 - - [26/Sep/2022:22:29:38 +0530] "GET /ServiceProvider/DeleteRequest.jsp?ueamil=kratik@gmail.com&providerEmail=aryan&datetime=2022-09-09T03:23 HTTP/1.1" 500 108
0:0:0:0:0:0:0:1 - - [26/Sep/2022:22:31:17 +0530] "GET /ServiceProvider/UserLogin.jsp?email=kratik%40gmail.com&password=12345 HTTP/1.1" 302 -
