127.0.0.1 - - [20/Sep/2022:16:14:11 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [20/Sep/2022:16:14:13 +0530] "GET /ServiceProvider/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2022:16:14:13 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [20/Sep/2022:16:14:17 +0530] "GET /ServiceProvider/admin.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2022:16:14:24 +0530] "GET /ServiceProvider/AloginByJsp.jsp?id=admin&pwd=12345 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Sep/2022:16:14:24 +0530] "GET /ServiceProvider/Adminhome.jsp HTTP/1.1" 200 40
0:0:0:0:0:0:0:1 - - [20/Sep/2022:16:14:44 +0530] "GET /ServiceProvider/AloginByJsp.jsp?id=admin&pwd=12345 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Sep/2022:16:14:44 +0530] "GET /ServiceProvider/Adminhome.jsp HTTP/1.1" 200 40
0:0:0:0:0:0:0:1 - - [20/Sep/2022:16:16:46 +0530] "GET /ServiceProvider/Adminhome.jsp HTTP/1.1" 200 92
0:0:0:0:0:0:0:1 - - [20/Sep/2022:16:16:48 +0530] "GET /ServiceProvider/Show.jsp HTTP/1.1" 200 2429
0:0:0:0:0:0:0:1 - - [20/Sep/2022:16:19:10 +0530] "GET /ServiceProvider/serviceprovider.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2022:16:19:19 +0530] "GET /ServiceProvider/AloginByJsp.jsp?id=admin&pwd=12345 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Sep/2022:16:19:19 +0530] "GET /ServiceProvider/Adminhome.jsp HTTP/1.1" 200 92
0:0:0:0:0:0:0:1 - - [20/Sep/2022:16:19:22 +0530] "GET /ServiceProvider/Show.jsp HTTP/1.1" 200 3087
0:0:0:0:0:0:0:1 - - [20/Sep/2022:16:19:30 +0530] "GET /ServiceProvider/DeleteProvider?email=anurag@gmail.com HTTP/1.1" 200 2243
0:0:0:0:0:0:0:1 - - [20/Sep/2022:16:19:33 +0530] "GET /ServiceProvider/DeleteProvider?email=anurag@gmail.com HTTP/1.1" 200 2240
0:0:0:0:0:0:0:1 - - [20/Sep/2022:16:19:35 +0530] "GET /ServiceProvider/DeleteProvider?email=anurag@gmail.com HTTP/1.1" 200 2240
0:0:0:0:0:0:0:1 - - [20/Sep/2022:16:19:40 +0530] "GET /ServiceProvider/UpdateStatus?email=anurag@gmail.com HTTP/1.1" 200 18
0:0:0:0:0:0:0:1 - - [20/Sep/2022:16:21:11 +0530] "GET /ServiceProvider/user.html HTTP/1.1" 200 340
0:0:0:0:0:0:0:1 - - [20/Sep/2022:16:21:18 +0530] "GET /ServiceProvider/AloginByJsp.jsp?id=admin&pwd=12345 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Sep/2022:16:21:18 +0530] "GET /ServiceProvider/Adminhome.jsp HTTP/1.1" 200 92
0:0:0:0:0:0:0:1 - - [20/Sep/2022:16:21:19 +0530] "GET /ServiceProvider/Show.jsp HTTP/1.1" 200 2727
0:0:0:0:0:0:0:1 - - [20/Sep/2022:16:21:23 +0530] "GET /ServiceProvider/UpdateStatus?email=keshav@gmail.com HTTP/1.1" 200 21
0:0:0:0:0:0:0:1 - - [20/Sep/2022:16:21:28 +0530] "GET /ServiceProvider/Show.jsp HTTP/1.1" 200 2728
0:0:0:0:0:0:0:1 - - [20/Sep/2022:16:21:30 +0530] "GET /ServiceProvider/UpdateStatus?email=aryan@gmail.com HTTP/1.1" 200 21
0:0:0:0:0:0:0:1 - - [20/Sep/2022:16:21:32 +0530] "GET /ServiceProvider/Show.jsp HTTP/1.1" 200 2729
