127.0.0.1 - - [28/Sep/2022:17:48:14 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [28/Sep/2022:17:48:20 +0530] "GET /ServiceProvider/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2022:17:48:20 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [28/Sep/2022:17:48:23 +0530] "GET /ServiceProvider/serviceprovider.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2022:17:48:29 +0530] "GET /ServiceProvider/ServiceProviderLogin.jsp?email=suresh%40gamil.com&pwd=12546123 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Sep/2022:17:49:12 +0530] "GET /ServiceProvider/ServiceProviderLogin.jsp?email=suresh%40gamil.com&pwd=sahd HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Sep/2022:17:49:23 +0530] "GET /ServiceProvider/ServiceProviderLogin.jsp?email=suresh%40gamil.com&pwd=1234 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Sep/2022:17:49:23 +0530] "GET /ServiceProvider/ServiceProHome.jsp HTTP/1.1" 200 129
0:0:0:0:0:0:0:1 - - [28/Sep/2022:17:49:27 +0530] "GET /ServiceProvider/EditServiceproviderProfile.jsp HTTP/1.1" 200 586
0:0:0:0:0:0:0:1 - - [28/Sep/2022:17:49:31 +0530] "GET /ServiceProvider/LogoutForProvider HTTP/1.1" 200 363
0:0:0:0:0:0:0:1 - - [28/Sep/2022:17:49:54 +0530] "GET /ServiceProvider/LogoutForProvider HTTP/1.1" 200 363
0:0:0:0:0:0:0:1 - - [28/Sep/2022:17:50:02 +0530] "GET /ServiceProvider/serviceprovider.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2022:17:50:03 +0530] "GET /ServiceProvider/serviceprovider.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2022:17:50:09 +0530] "GET /ServiceProvider/ServiceProviderLogin.jsp?email=suresh%40gamil.com&pwd=fffff HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Sep/2022:17:52:45 +0530] "GET /ServiceProvider/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2022:17:52:53 +0530] "GET /ServiceProvider/ServiceProviderLogin.jsp?email=suresh%40gamil.com&pwd=uifgd HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Sep/2022:18:41:37 +0530] "GET /ServiceProvider/ServiceProviderLogin.jsp?email=suresh%40gamil.com&pwd=555555 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Sep/2022:18:45:22 +0530] "GET /ServiceProvider/ HTTP/1.1" 200 303
0:0:0:0:0:0:0:1 - - [28/Sep/2022:18:45:25 +0530] "GET /ServiceProvider/serviceprovider.html HTTP/1.1" 200 309
